90,91,Protactinium,Pa,231.036,7,Hahn and Meitner,1917,7
91,92,Uranium,U,238.029,7,Peligot,1841,7
92,93,Neptunium,Np,237.0,7,McMillan and Abelson,1940,7
93,94,Plutonium,Pu,244.0,7,Seaborg et al.,1940,7
94,95,Americium,Am,243.0,7,Seaborg et al.,1944,7
95,96,Curium,Cm,247.0,7,Seaborg et al.,1944,7
96,97,Berkelium,Bk,247.0,7,Seaborg et al.,1949,7
97,98,Californium,Cf,251.0,7,Seaborg et al.,1950,7
98,99,Einsteinium,Es,252.0,7,Ghiorso et al.,1952,7
99,100,Fermium,Fm,257.0,7,Ghiorso et al.,1953,7
100,101,Mendelevium,Md,258.0,7,Ghiorso et al.,1955,7
101,102,Nobelium,No,259.0,7,Ghiorso et al.,1958,7
102,103,Lawrencium,Lr,262.0,7,Ghiorso et al.,1961,7
103,104,Rutherfordium,Rf,261.0,7,Ghiorso et al.,1969,7
104,105,Dubnium,Db,262.0,7,Ghiorso et al.,1970,7
105,106,Seaborgium,Sg,266.0,7,Ghiorso et al.,1974,7
106,107,Bohrium,Bh,264.0,7,Armbruster and M�nzenberg,1981,7
107,108,Hassium,Hs,267.0,7,Armbruster and M�nzenberg,1983,7
108,109,Meitnerium,Mt,268.0,7,"GSI, Darmstadt, West Germany",1982,7
109,110,Darmstadtium ,Ds,271.0,7,0,1994,7
110,111,Roentgenium ,Rg,272.0,7,0,1994,7
111,112,Copernicium ,Cn,285.0,7,0,1996,7
112,113,Nihonium,Nh,284.0,7,0,2004,7
113,114,Flerovium,Fl,289.0,7,0,1999,7
114,115,Moscovium,Mc,288.0,7,0,2010,7
115,116,Livermorium,Lv,292.0,7,0,2000,7
116,117,Tennessine,Ts,295.0,7,0,2010,7
117,118,Oganesson,Og,294.0,7,0,2006,7
